Nama Connector,Name,COnnector or Not,Gender,Following,Follower,Total Tweet,Pekerjaan,Career_Group
waliwali1,Matthew Mendelsohn,1,M,630,1338,"26,823",Writer,Writer
tracytrinita,Tracy Trinita,1,F,441,"68,937","22,610",Blogger,Writer
tikabanget,Atika Nurkoestanti,1,F,953,22854,155741,"Freelancer Sosmed Marketing, Blogger, ",Writer
tentanghanny,Hanny,1,F,112,118,23078,Staff Kementrian Keuangan,Staff
sydsalesman,Syd Bangbiron,1,M,3878,6239,"444,647",Salesman,Staff
suzyhut,Suzy Hutomo,1,F,657,7416,36411,C_Level,C_Level
sheggario,Ario Pratomo,1,M,1433,28790,95479,Pengusaha,Founder
roi8890,Rommy,1,M,298,242,31303,,
reinarivenska,Reina Rivenska,1,F,863,627,38006,Arsitek,Art
rbbagindo,Roby Bagindo,1,M,838,814,22248,Founder,Founder
pokijanacil,Astrid Enricka,1,F,1563,5941,"53,570",Founder,Founder
pingkan,Pingkan Irwin,1,F,430,775,"18,234",Pegawai,Staff
papinaritonang,Patrick Kevin,1,M,857,830,19620,Pegawai Keuangan,Staff
nuniek,NuniekTirta Ardianto,1,F,2337,8347,"43,124",Blogger,Writer
nietzschela,Harvan Muhammad,1,M,351,378,28031,,
mryasha,Yasha Chatab,1,M,1259,5564,27839,C_Level,C_Level
metta_anggriani,Metta Anggriani,1,F,390,521,"32,290",Financial Planner,Staff
mardyridha,Mardy Ridha,1,F,707,1280,"29,337",Staff Kemetrian,Staff
louiciano,Alexander Louiciano,1,M,1140,1201,38279,Head of Media Communicator,Staff
kvmin,Kevin Mintaraga,1,M,321,2635,"25,564",C_Level,C_Level
kusumorini,kusumorini / riri,1,F,859,1557,"16,149",Traveler,Traveler
jarwadi,Jarwadi MJ,1,M,872,"1,657","35,426",Blogger,Writer
ininandar,Nandar Sirait,1,M,490,992,16878,Pegawai,Staff
imanusman,Iman Usman,1,M,2605,27975,56846,C_Level,C_Level
ikitamara,Tamara Palupi,1,F,558,828,"30,544",Arsitek,Art
farry,Farry Aprianto,1,M,3351,2817,114050,C_Level,C_Level
evamuchtar,Eva Muchtar,1,F,444,905,19992,Instruktur Kesehatan,Health
ditut,Dita W.Ichwandardi,1,F,716,"27,679","37,780",Ilustrator/Photographer,Art
dessey,Desy Bachir,1,F,573,5680,"59,532",Host,Expert
cindiot,Cindy Nawilis,1,F,453,352,32783,Consultant/Pegawai,Staff
anskosasih,ANS Kosasih,1,M,188,5617,5456,C_Level,C_Level
angga_wardhana,Angga Wardhana,1,M,442,2768,6779,Musisi/Art,Art
andysjarif,Andy Sjarif,1,M,1897,4238,11448,Founder,Founder
ammesastro,amelia sastrohutomo,1,F,631,454,18325,Pegawai,Staff
addiriya,Addiriya Kencana,1,F,461,697,14037,Psikolog,Health
12sly,VinSuly,1,F,228,499,23461,HRD,STaff
zverio,Zaverio R,0,F,413,271,5511,Storyteller,Art
yusinovitasari,Yusi Novitasari,0,F,448,448,7181,Accountant,Staff
yomihar,,0,M,262,146,2130,Tax AudiT,Staff
yessicasalim,,0,F,137,209,9233,Office Admin,Staff
yannigk,,0,F,354,111,2026,,
yamunaa,,0,F,351,7427,9447,HR,Staff
winawilanisa,,0,F,1068,1041,6158,Communication Specialist,Staff
wdytari,,0,F,562,687,13525,UI Designer,Art
vsputra,,0,M,575,1431,4182,Photography,Art
viennaivana,,0,F,195,588,23844,Sales Excecutive,Staff
vialvianurul,,0,F,585,91,2393,,
versalino,,0,M,1025,656,10418,,
veraumbara,,0,F,1254,775,4278,Owner,Founder
v105,,0,F,84,96,4578,,
utis_libra,,0,M,56,26,783,Logistics,Staff
urswantah,,0,F,233,466,11308,,
umam__,,0,M,672,312,17455,,
tytheo,,0,M,202,160,1610,,
tweetfahmii,,0,M,301,237,3607,Graphic Designer,Art
tutuswidayanti,,0,F,1463,924,8856,,
tthemikey,,0,M,279,347,12909,,
ts_account,,0,F,176,131,14972,,
triandhinadinda,,0,F,305,542,18747,Pattisier,Expert
tjempakaning,,0,F,382,455,6170,,
tituserfand,,0,M,2823,695,13968,,
timothyoroh,,0,M,389,1097,18849,,
thoni_respect,,0,M,894,316,10002,,
teuku_ricky,,0,M,122,40,591,,
teguh_hermawan,,0,M,634,1098,8785,,
tanerina42,,0,F,645,495,8096,,
sunarhadii,,0,M,486,239,1948,,
stevenaditya,,0,M,208,207,12796,,
steven_sutantro,,0,M,1050,1182,4558,,
squawkyheffer,,0,F,164,304,25459,,
shielladw,,0,F,226,380,29621,,
septianniko_,,0,M,298,490,24210,,
satria_trym,,0,M,504,540,2122,,
sashasunu,,0,F,517,540,4085,,
sarahfir,,0,F,375,512,31533,,
sandruemil,,0,M,454,776,7749,,
sagita,,0,F,378,1591,4314,,
sabathaly,,0,F,385,466,8410,,
rubiroesli,,0,M,756,823,8438,,
rosiyona,,0,F,314,370,17712,,
ros_powell,,0,F,126,480,1272,,
ron83272444,,0,M,47,616,2188,,
rizkiyuniarini,,0,F,371,605,16724,,
ridzki_n,,0,M,1583,966,20687,,
rhesya,,0,F,1059,2160,19118,,
rafieranda,,0,M,1097,673,20316,,
qorrqorr,,0,F,277,356,15836,,
qodeldila,,0,F,598,553,16591,,
